Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
NEUROSCIENCE BULLETIN,1673-7067,1995-8218,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Neurosciences
NEUROSCIENCE LETTERS,0304-3940,1872-7972,ELSEVIER IRELAND LTD,"ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000",English,Neurosciences
NEUROSCIENCE RESEARCH,0168-0102,1872-8111,ELSEVIER IRELAND LTD,"ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, IRELAND, 00000",English,Neurosciences
NEUROSCIENCES,1319-6138,1319-6138,RIYADH ARMED FORCES HOSPITAL,"PO BOX 7897, RIYADH, SAUDI ARABIA, KSA, 11159",English,Clinical Neurology
NEUROSCIENTIST,1073-8584,1089-4098,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Clinical Neurology | Neurosciences
NEUROSPINE,2586-6583,2586-6591,KOREAN SPINAL NEUROSURGERY SOC,"ND #407, DONG-A VILLATE 2 TOWN, 350, SEOCHO-DAERO, SEOCHO-GU, SEOUL, SOUTH KOREA, 06631","English, Korean",Surgery | Clinical Neurology
NEUROSURGERY,0148-396X,1524-4040,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,Surgery | Clinical Neurology
NEUROSURGERY CLINICS OF NORTH AMERICA,1042-3680,1558-1349,W B SAUNDERS CO-ELSEVIER INC,"1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899",English,Surgery | Clinical Neurology
NEUROSURGICAL FOCUS,1092-0684,1092-0684,AMER ASSOC NEUROLOGICAL SURGEONS,"5550 MEADOWBROOK DRIVE, ROLLING MEADOWS, USA, IL, 60008",English,Surgery | Clinical Neurology
NEUROSURGICAL REVIEW,0344-5607,1437-2320,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Surgery | Clinical Neurology
NEUROTHERAPEUTICS,1933-7213,1878-7479,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Pharmacology & Pharmacy | Clinical Neurology | Neurosciences
